Year,Month,Search.Volume1,Search.Volume2,Search.Volume3,Search.Volume4
2004,1,0,0,0,0
2004,2,0,0,0,28
2004,3,0,0,0,35
2004,4,0,0,0,40
2004,5,0,0,0,32
2004,6,0,0,0,25
2004,7,0,0,0,51
2004,8,0,0,0,46
2004,9,0,0,0,29
2004,10,0,0,0,33
2004,11,0,0,0,31
2004,12,0,0,0,31
2005,1,0,0,0,18
2005,2,0,0,0,28
2005,3,0,0,0,0
2005,4,0,0,0,0
2005,5,0,0,0,33
2005,6,0,0,0,17
2005,7,0,0,0,45
2005,8,0,0,0,47
2005,9,0,0,0,29
2005,10,0,0,0,25
2005,11,0,0,0,32
2005,12,0,0,0,20
2006,1,0,0,0,24
2006,2,0,0,0,37
2006,3,0,0,0,12
2006,4,0,0,0,13
2006,5,0,0,0,20
2006,6,0,0,0,13
2006,7,0,0,0,11
2006,8,0,0,0,0
2006,9,0,0,0,17
2006,10,0,0,0,12
2006,11,0,0,0,9
2006,12,0,0,0,24
2007,1,0,0,0,17
2007,2,0,0,0,22
2007,3,0,0,0,22
2007,4,0,0,0,32
2007,5,0,0,0,18
2007,6,0,0,0,8
2007,7,0,7,0,11
2007,8,0,0,0,19
2007,9,0,0,0,21
2007,10,0,0,0,20
2007,11,0,0,0,12
2007,12,0,0,0,9
2008,1,0,0,0,10
2008,2,0,0,0,17
2008,3,0,0,0,29
2008,4,0,0,0,10
2008,5,0,0,0,8
2008,6,0,0,0,20
2008,7,0,0,0,13
2008,8,6,0,0,8
2008,9,0,0,0,16
2008,10,0,0,0,11
2008,11,0,0,7,18
2008,12,0,0,0,11
2009,1,0,0,0,22
2009,2,5,7,5,13
2009,3,0,0,0,10
2009,4,0,0,0,11
2009,5,0,0,0,30
2009,6,0,0,5,13
2009,7,0,5,0,12
2009,8,0,0,0,16
2009,9,0,0,0,23
2009,10,0,0,0,100
2009,11,0,4,0,57
2009,12,0,6,4,44
2010,1,0,0,0,30
2010,2,0,0,4,30
2010,3,0,0,4,16
2010,4,0,0,0,31
2010,5,0,4,0,26
2010,6,0,0,0,22
2010,7,0,5,0,26
2010,8,4,0,0,21
2010,9,0,0,0,27
2010,10,0,7,4,30
2010,11,0,3,3,25
2010,12,0,0,0,13
2011,1,0,3,0,30
2011,2,0,3,0,22
2011,3,0,5,3,28
2011,4,0,0,4,24
2011,5,0,0,3,27
2011,6,0,5,3,26
2011,7,0,3,0,29
2011,8,0,2,0,30
2011,9,0,2,3,26
2011,10,0,0,0,24
2011,11,2,3,0,36
2011,12,0,2,0,22
2012,1,0,2,2,32
2012,2,0,0,2,31
2012,3,0,2,2,21
2012,4,2,2,0,34
2012,5,3,0,3,29
2012,6,0,2,2,31
2012,7,0,0,2,21
2012,8,0,0,0,30
2012,9,2,5,4,38
2012,10,0,2,0,21
2012,11,0,2,0,24
2012,12,0,2,0,22
2013,1,0,2,2,31
2013,2,0,0,0,26
2013,3,0,0,0,46
2013,4,2,3,0,34
2013,5,2,3,2,21
2013,6,2,0,0,61
2013,7,0,0,2,32
2013,8,0,3,2,26
2013,9,0,2,0,35
2013,10,0,3,3,38
2013,11,2,3,0,27
2013,12,2,3,0,28
2014,1,2,8,2,23
2014,2,2,4,0,28
2014,3,0,3,0,23
2014,4,0,4,0,36
2014,5,0,2,2,32
2014,6,0,3,2,17
2014,7,2,2,2,20
2014,8,0,4,5,29
2014,9,0,2,2,24
2014,10,2,2,0,32
2014,11,0,4,0,27
2014,12,0,4,2,33
2015,1,2,3,2,33
2015,2,0,4,2,31
2015,3,2,2,0,30
2015,4,2,0,0,30
2015,5,2,2,10,25
2015,6,0,2,5,24
2015,7,2,2,2,27
2015,8,0,4,3,25
2015,9,0,4,2,26
2015,10,0,2,2,24
2015,11,0,3,0,27
2015,12,0,0,2,26
2016,1,1,3,0,24
2016,2,2,3,2,28
2016,3,0,3,1,31
2016,4,2,3,2,21
2016,5,2,1,1,24
2016,6,0,2,0,15
2016,7,0,3,1,19
2016,8,0,2,1,20
2016,9,0,2,2,41
2016,10,0,1,1,36
2016,11,0,2,1,24
2016,12,0,1,1,24
2017,1,2,2,1,22
2017,2,0,1,4,24
2017,3,0,2,1,22
2017,4,3,0,1,29
2017,5,0,3,1,26
2017,6,2,0,2,20
2017,7,2,1,1,15
2017,8,1,2,0,16
2017,9,1,1,2,34
2017,10,2,2,2,24
2017,11,2,2,1,25
2017,12,0,2,2,25
