Category: All categories

Month,breast augmentation: (Australia),breast implant: (Australia)
2004-01,64,30
2004-02,77,15
2004-03,52,24
2004-04,42,36
2004-05,39,55
2004-06,45,20
2004-07,60,30
2004-08,72,28
2004-09,47,23
2004-10,41,30
2004-11,39,23
2004-12,67,40
2005-01,70,30
2005-02,79,36
2005-03,45,28
2005-04,48,39
2005-05,30,33
2005-06,61,25
2005-07,47,32
2005-08,75,25
2005-09,44,30
2005-10,47,32
2005-11,36,31
2005-12,51,31
2006-01,57,21
2006-02,49,17
2006-03,46,21
2006-04,55,31
2006-05,66,39
2006-06,47,21
2006-07,71,16
2006-08,50,19
2006-09,55,15
2006-10,54,34
2006-11,47,17
2006-12,58,35
2007-01,57,11
2007-02,42,24
2007-03,54,21
2007-04,49,31
2007-05,60,28
2007-06,39,13
2007-07,60,22
2007-08,52,22
2007-09,61,29
2007-10,70,30
2007-11,53,17
2007-12,48,18
2008-01,49,27
2008-02,44,23
2008-03,43,26
2008-04,56,23
2008-05,44,25
2008-06,52,30
2008-07,45,26
2008-08,46,22
2008-09,53,14
2008-10,57,34
2008-11,59,23
2008-12,53,27
2009-01,49,19
2009-02,53,17
2009-03,71,23
2009-04,63,25
2009-05,58,26
2009-06,55,19
2009-07,64,27
2009-08,64,26
2009-09,67,25
2009-10,82,26
2009-11,64,20
2009-12,62,27
2010-01,76,23
2010-02,56,17
2010-03,61,21
2010-04,55,29
2010-05,57,18
2010-06,61,25
2010-07,57,30
2010-08,57,29
2010-09,67,23
2010-10,59,25
2010-11,65,27
2010-12,61,32
2011-01,70,26
2011-02,49,26
2011-03,55,20
2011-04,55,19
2011-05,55,28
2011-06,63,26
2011-07,51,28
2011-08,77,25
2011-09,71,31
2011-10,65,31
2011-11,72,21
2011-12,45,39
2012-01,69,60
2012-02,64,34
2012-03,57,40
2012-04,62,32
2012-05,61,26
2012-06,64,25
2012-07,73,29
2012-08,82,29
2012-09,86,30
2012-10,83,29
2012-11,82,27
2012-12,72,28
2013-01,90,30
2013-02,72,24
2013-03,78,31
2013-04,83,34
2013-05,76,31
2013-06,76,28
2013-07,83,23
2013-08,83,27
2013-09,81,33
2013-10,87,32
2013-11,92,31
2013-12,86,27
2014-01,92,33
2014-02,88,29
2014-03,81,28
2014-04,84,28
2014-05,88,28
2014-06,86,36
2014-07,81,31
2014-08,99,36
2014-09,95,33
2014-10,100,33
2014-11,95,35
2014-12,87,30
2015-01,91,30
2015-02,89,28
2015-03,69,32
2015-04,66,30
2015-05,62,30
2015-06,78,29
2015-07,76,33
2015-08,80,32
2015-09,92,36
2015-10,87,30
2015-11,77,26
2015-12,73,25
2016-01,76,32
2016-02,80,28
2016-03,71,29
2016-04,65,27
2016-05,64,30
2016-06,65,31
2016-07,62,31
2016-08,69,27
2016-09,75,28
2016-10,78,27
2016-11,81,27
2016-12,66,27
2017-01,76,29
2017-02,72,27
2017-03,69,28
2017-04,75,29
2017-05,73,29
2017-06,72,28
2017-07,70,27
2017-08,69,33
2017-09,81,32
2017-10,75,29
2017-11,69,23
2017-12,70,26
2018-01,75,22
