Category: All categories

Month,breast augmentation: (South Africa),breast implant: (South Africa)
2004-01,33,0
2004-02,29,30
2004-03,36,0
2004-04,31,31
2004-05,30,0
2004-06,100,0
2004-07,0,0
2004-08,21,0
2004-09,24,0
2004-10,33,29
2004-11,32,24
2004-12,0,57
2005-01,0,0
2005-02,20,0
2005-03,18,16
2005-04,18,22
2005-05,0,13
2005-06,17,25
2005-07,40,14
2005-08,12,24
2005-09,34,0
2005-10,12,14
2005-11,21,12
2005-12,43,17
2006-01,21,11
2006-02,25,10
2006-03,10,9
2006-04,10,0
2006-05,8,21
2006-06,22,0
2006-07,26,9
2006-08,28,7
2006-09,38,7
2006-10,21,0
2006-11,17,14
2006-12,27,9
2007-01,18,9
2007-02,13,6
2007-03,12,9
2007-04,13,0
2007-05,20,0
2007-06,20,0
2007-07,16,10
2007-08,17,11
2007-09,17,5
2007-10,19,14
2007-11,13,0
2007-12,18,10
2008-01,17,4
2008-02,12,6
2008-03,7,5
2008-04,12,4
2008-05,18,6
2008-06,14,3
2008-07,26,13
2008-08,13,6
2008-09,12,4
2008-10,16,4
2008-11,13,3
2008-12,8,8
2009-01,17,3
2009-02,12,5
2009-03,9,5
2009-04,22,12
2009-05,17,3
2009-06,17,3
2009-07,11,5
2009-08,20,3
2009-09,10,3
2009-10,23,4
2009-11,16,4
2009-12,10,0
2010-01,21,4
2010-02,12,3
2010-03,15,3
2010-04,18,5
2010-05,8,5
2010-06,19,6
2010-07,11,3
2010-08,7,3
2010-09,14,7
2010-10,8,4
2010-11,15,0
2010-12,7,8
2011-01,19,5
2011-02,10,3
2011-03,15,2
2011-04,15,2
2011-05,9,3
2011-06,12,2
2011-07,9,1
2011-08,15,3
2011-09,14,4
2011-10,13,2
2011-11,15,3
2011-12,10,3
2012-01,11,2
2012-02,14,2
2012-03,14,4
2012-04,10,4
2012-05,9,2
2012-06,9,2
2012-07,12,2
2012-08,10,2
2012-09,13,3
2012-10,10,3
2012-11,11,3
2012-12,16,2
2013-01,13,2
2013-02,12,2
2013-03,10,3
2013-04,9,1
2013-05,10,2
2013-06,11,3
2013-07,11,2
2013-08,14,3
2013-09,12,2
2013-10,11,2
2013-11,13,3
2013-12,9,2
2014-01,9,2
2014-02,7,2
2014-03,7,2
2014-04,7,3
2014-05,9,2
2014-06,8,2
2014-07,9,2
2014-08,6,3
2014-09,8,2
2014-10,8,2
2014-11,10,3
2014-12,10,1
2015-01,6,2
2015-02,6,3
2015-03,8,2
2015-04,8,2
2015-05,7,4
2015-06,7,3
2015-07,8,2
2015-08,9,2
2015-09,8,2
2015-10,10,2
2015-11,9,2
2015-12,10,2
2016-01,9,4
2016-02,6,1
2016-03,8,1
2016-04,5,2
2016-05,6,1
2016-06,8,3
2016-07,7,2
2016-08,9,1
2016-09,7,2
2016-10,7,2
2016-11,8,3
2016-12,6,1
2017-01,8,2
2017-02,6,2
2017-03,5,2
2017-04,7,3
2017-05,5,1
2017-06,5,2
2017-07,6,3
2017-08,5,2
2017-09,6,2
2017-10,8,2
2017-11,7,2
2017-12,7,3
2018-01,7,4
